顿,頓
颁,頒
颂,頌
预,預
颅,顱
领,領
颇,頗
颈,頸
颉,頡
颊,頰
颐,頤
频,頻
颓,頹
颔,頷
颖,穎
颗,顆
题,題
颚,顎
颛,顓
颜,顏
额,額
颠,顛
颤,顫
颦,顰
风,風
飏,颺
飒,颯
飓,颶
飕,颼
飘,飄
飞,飛
餍,饜
饥,飢
饨,飩
饪,飪
饬,飭
饭,飯
饮,飲
饯,餞
饰,飾
饱,飽
饲,飼
饴,飴
饵,餌
饶,饒
饷,餉
饺,餃
饼,餅
饿,餓
馁,餒
馄,餛
馅,餡
馆,館
馈,饋
馊,餿
馋,饞
馏,餾
馒,饅
马,馬
驭,馭
驮,馱
驯,馴
驰,馳
驱,驅
驳,駁
驴,驢
驶,駛
驷,駟
驸,駙
驹,駒
驻,駐
驼,駝
驽,駑
驾,駕
驿,驛
骂,罵
骄,驕
骆,駱
骇,駭
骈,駢
骊,驪
骋,騁
验,驗
骏,駿
骑,騎
骗,騙
骚,騷
骛,騖
骞,騫
骠,驃
骡,騾
骤,驟
骥,驥
髅,髏
鬓,鬢
魇,魘
鱼,魚
鱿,魷
鲁,魯
鲈,鱸
鲍,鮑
鲔,鮪
鲛,鮫
鲜,鮮
鲢,鰱
鲤,鯉
鲨,鯊
鲫,鯽
鲳,鯧
鲸,鯨
鳃,鰓
鳄,鰐
鳅,鰍
鳌,鰲
鳍,鰭
鳏,鰥
鳔,鰾
鳖,鱉
鳗,鰻
鳜,鱖
鳝,鱔
鳞,鱗
鸟,鳥
鸠,鳩
鸡,雞
鸢,鳶
鸣,鳴
鸥,鷗
鸦,鴉
鸩,鴆
鸪,鴣
鸭,鴨
鸯,鴦
鸰,鴒
鸳,鴛
鸵,鴕
鸶,鷥
鸽,鴿
鸾,鸞
鸿,鴻
鹃,鵑
鹄,鵠
鹅,鵝
鹉,鵡
鹊,鵲
鹌,鵪
鹏,鵬
鹑,鶉
鹞,鷂
鹤,鶴
鹦,鸚
鹧,鷓
鹭,鷺
鹰,鷹
麦,麥
麸,麩
黄,黃
黩,黷
鼹,鼴
齐,齊
齿,齒
龃,齟
龄,齡
龇,齜
龈,齦
龉,齬
龊,齪
龋,齲
龌,齷
龙,龍
龚,龔
龟,龜
